32349,101.288541,-16.713143,-1.44,0.009,-546.01,-1223.08
30438,95.987878,-52.695718,-0.62,0.164,19.99,23.67
69673,213.918114,19.187270,-0.05,1.239,-1093.45,-1999.40
71683,219.920410,-60.835147,-0.01,0.710,-3678.19,481.84
91262,279.234108,38.782993,0.03,-0.001,201.02,287.46
24608,79.172065,45.999029,0.08,0.795,75.52,-427.13
24436,78.634464,-8.201639,0.18,-0.030,1.87,-0.56
37279,114.827242,5.227508,0.40,0.432,-716.57,-1034.58
7588,24.428132,-57.236660,0.45,-0.158,88.02,-40.08
27989,88.792872,7.407036,0.45,1.500,27.33,10.86
68702,210.956019,-60.372978,0.61,-0.231,-33.96,-25.06
97649,297.694509,8.867385,0.76,0.221,536.82,385.54
60718,186.649756,-63.099056,0.77,-0.243,-35.37,-14.73
21421,68.980002,16.509762,0.87,1.538,62.78,-189.36
65474,201.298352,-11.161245,0.98,-0.235,-42.50,-31.73
80763,247.351948,-26.431946,1.06,1.865,-10.16,-23.21
37826,116.330683,28.026310,1.16,0.991,-625.69,-45.95
113368,344.411773,-29.621837,1.17,0.145,329.22,-164.22
62434,191.930495,-59.688732,1.25,-0.238,-48.24,-12.82
102098,310.357973,45.280334,1.25,0.092,1.56,1.55
71681,219.914128,-60.839471,1.35,0.900,-3600.35,952.11
49669,152.093581,11.967195,1.36,-0.087,-249.40,4.91
33579,104.656445,-28.972089,1.50,-0.211,2.63,2.29
36850,113.650019,31.888636,1.58,0.034,-206.33,-148.18
61084,187.791372,-57.112569,1.59,1.600,27.94,-264.33
85927,263.402194,-37.103748,1.62,-0.231,-8.90,-29.95
25336,81.282784,6.349735,1.64,-0.224,-8.75,-13.28
25428,81.572908,28.607873,1.65,-0.130,23.28,-174.22
45238,138.301003,-69.717472,1.67,0.070,-157.66,108.91
26311,84.053386,-1.201917,1.69,-0.184,1.49,-1.06
109268,332.057818,-46.960616,1.73,-0.070,127.60,-147.91
26727,85.189687,-1.942578,1.74,-0.199,3.99,2.54
39953,122.383147,-47.336612,1.75,-0.145,-5.93,9.90
62956,193.506804,55.959843,1.76,-0.022,111.74,-8.99
15863,51.080619,49.861243,1.79,0.481,24.11,-26.01
90185,276.043110,-34.384315,1.79,-0.031,-39.61,-124.05
54061,165.932654,61.751119,1.81,1.061,-136.46,-35.25
34444,107.097859,-26.393208,1.83,0.671,-2.75,3.33
67301,206.885609,49.313303,1.85,-0.099,-121.23,-15.56
41037,125.628603,-59.509538,1.86,1.196,-25.34,22.72
86228,264.329691,-42.997822,1.86,0.406,6.06,-0.95
28360,89.882373,44.947435,1.90,0.077,-56.41,-0.88
82273,252.166107,-69.027635,1.91,1.447,17.85,-32.92
31681,99.427926,16.399415,1.93,0.001,-2.04,-66.92
42913,131.175822,-54.708568,1.93,0.043,28.78,-104.14
100751,306.411873,-56.734881,1.94,-0.118,7.71,-86.15
11767,37.946147,89.264138,1.97,0.636,44.22,-11.74
30324,95.674948,-17.955917,1.98,-0.240,-3.45,-0.47
46390,141.896883,-8.658683,1.99,1.440,-14.49,33.25
9884,31.792858,23.462777,2.01,1.151,190.73,-145.77
50583,154.992341,19.841860,2.01,1.128,310.77,-152.88
3419,10.896785,-17.986684,2.04,1.019,232.79,32.71
92855,283.816320,-26.296594,2.05,-0.134,13.87,-52.65
68933,211.672186,-36.368696,2.06,1.011,-519.29,-517.87
677,2.096533,29.090828,2.07,-0.038,135.68,-162.95
5447,17.432490,35.620830,2.07,1.576,175.59,-112.23
27366,86.939116,-9.669602,2.07,-0.168,1.55,-1.20
72607,222.676648,74.155476,2.07,1.465,-32.29,11.91
112122,340.666395,-46.884566,2.07,1.610,135.68,-4.51
86032,263.733353,12.560576,2.08,0.155,110.08,-222.61
14576,47.042207,40.955651,2.09,-0.003,2.39,-1.44
9640,30.974663,42.329848,2.10,1.370,43.08,-50.85
57632,177.266160,14.572337,2.14,0.090,-499.02,-113.78
4427,14.177088,60.716750,2.15,-0.046,25.65,-3.82
61932,190.380021,-48.959886,2.20,-0.023,-187.28,-1.20
39429,120.896126,-40.003188,2.21,-0.269,-30.82,16.77
45556,139.272618,-59.275261,2.21,0.189,-19.03,13.11
76267,233.671623,26.714910,2.22,0.032,120.38,-89.44
44816,136.999071,-43.432624,2.23,1.665,-23.21,14.28
65378,200.980916,54.925415,2.23,0.057,121.23,-22.01
100453,305.557083,40.256681,2.23,0.673,2.43,-0.93
3179,10.126613,56.537409,2.24,1.170,50.36,-32.17
87833,269.151574,51.488951,2.24,1.521,-8.52,-23.05
25930,83.001666,-0.299093,2.25,-0.175,1.67,0.56
746,2.292040,59.150218,2.28,0.380,523.39,-180.42
66657,204.971970,-53.466363,2.29,-0.171,-14.60,-12.79
78401,240.083382,-22.621620,2.29,-0.117,-8.67,-36.90
82396,252.542687,-34.292610,2.29,1.144,-611.83,-255.87
71860,220.482391,-47.388141,2.30,-0.154,-21.15,-24.22
71352,218.876882,-42.157746,2.33,-0.157,-35.31,-32.44
